init_state,found,time_millis,steps,solution
6 0 1 4 5 7 8 3 2,1,195,23,L D R R D L L U R U R D D L L U U R R D L D R
5 4 0 2 3 8 7 1 6,1,130,22,D L L U R D D R U U L D R D L U L U R R D D
3 4 5 7 8 6 2 1 0,0,2990,NA,NA
8 1 6 5 0 2 4 3 7,0,3231,NA,NA
4 5 0 8 6 3 7 1 2,1,109,24,D L L U R R D L D R U U L D D L U U R D L D R R
1 4 6 7 0 5 2 3 8,1,65,24,D R U L U R D D L L U R U R D L D R U U L D R D
8 4 2 5 0 6 7 1 3,0,3210,NA,NA
7 8 5 4 1 6 3 0 2,1,217,25,L U R U L D R R D L U U R D D L U L D R U U R D D
3 7 5 2 0 1 8 6 4,1,11,18,U L D R R D L L U R R U L L D R R D
8 3 1 6 5 7 2 0 4,1,515,27,R U L U L D D R R U L U R D L L U R D L D R R U L D R
5 4 1 2 6 0 3 8 7,0,3141,NA,NA
2 8 7 5 6 1 4 0 3,0,3377,NA,NA
0 4 7 6 1 3 8 2 5,0,3914,NA,NA
6 0 1 5 7 8 3 4 2,1,79,25,L D R D L U R D R U L U R D L D L U U R D L D R R
6 7 4 2 1 3 5 0 8,1,22,19,U U L D R U R D L D L U R U L D R D R
7 0 4 3 2 6 1 5 8,1,48,23,D L D R R U L L U R R D D L L U R U L D R D R
1 0 8 7 6 4 5 2 3,0,3625,NA,NA
3 1 2 6 8 7 4 5 0,0,3390,NA,NA
4 1 2 5 3 8 6 0 7,1,4,15,R U L L D R U L U R R D L D R
3 1 7 4 5 6 8 2 0,1,79,24,U L D L U R U L D R R U L L D R R D L U L D R R
6 1 5 2 0 3 8 7 4,0,3017,NA,NA
7 3 4 0 8 6 5 1 2,0,3202,NA,NA
0 3 6 8 2 7 4 1 5,1,34,22,D R D R U U L D L U R D D R U L L D R U R D
5 7 3 6 8 4 0 1 2,0,3210,NA,NA
3 8 6 4 2 1 7 5 0,1,87,24,L U U L D R R U L D L U R R D L D R U U L D D R
0 1 4 8 3 7 5 2 6,1,45,24,R D D R U U L D R D L U L D R U R D L U L D R R
8 2 6 7 5 4 0 3 1,1,370,26,U R R U L L D R D R U L D L U R U L D D R U U R D D
0 6 2 7 4 5 1 3 8,1,265,26,D R U R D L D L U U R D D L U R D R U U L L D R R D
2 1 8 7 0 6 4 3 5,1,270,26,D R U L L U R R D D L U U R D L L D R R U U L D D R
0 8 7 5 2 4 1 6 3,0,3032,NA,NA
5 8 6 1 4 3 2 7 0,0,3084,NA,NA
3 2 6 5 8 4 1 0 7,1,114,23,R U L L D R U U L D D R R U U L D D L U R D R
0 5 7 8 2 6 3 4 1,1,444,30,R D D L U R R D L U R U L D R D L L U U R R D D L U L D R R
8 5 4 0 1 2 3 7 6,0,3205,NA,NA
0 7 6 1 2 8 3 4 5,1,71,22,D R U L D D R U L U R D L D R R U U L D D R
8 2 7 1 0 6 4 3 5,0,3244,NA,NA
2 5 1 3 7 6 8 0 4,1,259,25,R U U L L D R D L U R U L D R R U L D L U R D R D
5 3 7 6 0 4 2 8 1,0,3208,NA,NA
6 3 2 8 7 0 1 5 4,1,132,29,D L U L D R U R U L L D R R D L U U R D L D R U U L D R D
3 1 7 0 8 5 6 4 2,0,3158,NA,NA
2 1 8 3 6 0 4 7 5,0,3347,NA,NA
6 2 7 8 4 1 5 3 0,0,3099,NA,NA
2 3 7 1 4 6 0 5 8,0,3170,NA,NA
3 7 0 5 6 8 4 2 1,0,3046,NA,NA
