init_state,found,time_millis,steps,solution
8 1 0 7 2 6 4 3 5,1,221,24,D L L U R R D D L U L D R U R D L U U R D L D R
7 5 1 0 4 6 2 8 3,0,3686,NA,NA
4 8 2 3 7 5 0 1 6,0,3139,NA,NA
6 8 4 5 0 2 7 1 3,1,90,26,U R D D L U L U R R D D L U R U L D L U R R D L D R
0 4 5 6 1 7 3 2 8,1,47,24,R D R D L U L D R R U L L U R D D R U U L D R D
6 4 8 0 1 5 2 3 7,0,3068,NA,NA
2 0 3 4 5 6 1 8 7,1,15,19,D L D R U U L D D R R U L L D R U R D
3 1 4 2 7 5 0 6 8,0,2791,NA,NA
3 4 0 5 7 6 8 2 1,1,47,22,D D L L U R R D L L U R U L D R R U L D D R
7 1 4 2 3 6 0 5 8,0,3034,NA,NA
5 0 3 7 4 6 8 1 2,1,0,21,D D L U R U L D R U R D D L U R U L D D R
2 6 3 8 1 4 7 0 5,0,3190,NA,NA
1 0 6 5 3 2 7 4 8,0,3038,NA,NA
2 8 1 7 0 4 3 6 5,0,2724,NA,NA
7 5 8 2 3 0 6 4 1,1,341,27,L L U R D D R U L D L U R R U L L D R R D L U U R D D
5 0 7 1 6 2 8 4 3,0,2983,NA,NA
4 7 2 0 8 6 5 1 3,1,62,23,R D L U R U L D R R D L U U R D D L L U R R D
3 8 5 4 1 6 7 0 2,0,2974,NA,NA
4 7 2 5 8 3 1 6 0,0,3321,NA,NA
4 5 8 2 7 6 3 0 1,1,201,27,U L D R R U U L D L U R D D L U R R U L L D D R U R D
8 2 5 7 6 4 0 3 1,0,2761,NA,NA
6 0 4 5 8 1 7 2 3,0,2703,NA,NA
2 1 3 5 7 0 8 6 4,0,3375,NA,NA
8 7 0 4 6 2 1 3 5,0,2847,NA,NA
0 8 6 2 1 4 7 3 5,1,25,20,D R U R D L D R U L U R D L U L D R D R
4 1 5 7 2 8 6 0 3,0,2865,NA,NA
5 8 0 3 6 1 4 7 2,0,2764,NA,NA
4 3 6 7 2 8 1 5 0,1,16,20,U U L D D L U R D R U U L D L U R R D D
7 4 1 3 2 5 0 8 6,0,3094,NA,NA
7 0 2 5 1 3 8 6 4,0,3054,NA,NA
1 7 5 8 0 3 2 4 6,0,2832,NA,NA
3 6 4 1 8 7 2 0 5,0,3206,NA,NA
6 5 4 0 1 3 7 2 8,1,10,21,R U R D L U L D R U R D L D R U U L D R D
1 7 8 0 3 5 6 4 2,1,37,23,D R U U R D D L U L D R U U R D D L U U R D D
4 7 3 8 6 0 2 1 5,1,94,27,L D L U R U L D R U R D D L L U R R D L U R U L D D R
0 1 6 4 2 8 5 3 7,1,15,18,R D D L U U R D D R U U L L D D R R
6 4 8 0 5 3 1 2 7,1,123,25,D R U U L D R R U L D D L U R D R U U L D L D R R
3 8 0 2 7 6 5 1 4,1,47,22,D L U L D D R R U L L D R R U U L L D D R R
